brind,startT,endT,commTime,commStart,commEnd
1012,,,,2008-04-08 15:05:00,2008-04-08 15:05:19
1012,,,,2008-04-08 15:53:32,2008-04-08 15:53:43
1012,,,2008-04-08 16:10:13,,
1101,2008-03-31 08:12:10,2008-03-31 09:08:12,,,
1101,,,2008-03-31 08:12:10,,
1101,,,,2008-03-31 08:33:36,2008-03-31 08:33:46
1101,,,,2008-03-31 09:03:34,2008-03-31 09:05:22
1101,,,2008-03-31 09:08:12,,
1198,2008-03-31 09:25:44,2008-03-31 10:38:16,,,
1198,,,2008-03-31 09:25:44,,
1198,,,,2008-03-31 09:42:32,2008-03-31 09:42:40
1198,,,2008-03-31 10:04:24,,
1198,,,,2008-03-31 10:35:32,2008-03-31 10:38:16
1086,2008-03-31 10:38:47,2008-03-31 12:34:30,,,
1086,,,2008-03-31 10:38:47,,
1086,,,2008-03-31 11:28:11,,
1086,,,,2008-03-31 11:35:08,2008-03-31 11:37:01
1086,,,,2008-03-31 12:29:30,2008-03-31 12:34:30
1082,2008-04-08 08:22:59,2008-04-08 08:43:45,,,
1082,,,2008-04-08 08:22:59,,
1082,,,2008-04-08 08:43:45,,
1177,2008-04-08 08:58:41,2008-04-08 09:08:32,,,
1177,,,2008-04-08 08:58:41,,
1177,,,2008-04-08 09:08:32,,
1181,2008-04-08 09:31:55,2008-04-08 11:29:15,,,
1181,,,2008-04-08 09:31:55,,
1181,,,,2008-04-08 10:07:52,2008-04-08 10:08:28
1181,,,,2008-04-08 10:17:37,2008-04-08 10:18:57
1181,,,,2008-04-08 10:26:19,2008-04-08 10:26:51
1181,,,2008-04-08 11:02:52,,
1181,,,2008-04-08 11:24:53,,
1181,,,2008-04-08 11:29:15,,
1059,2008-04-08 11:29:51,2008-04-08 11:36:28,,,
1059,,,2008-04-08 11:29:51,,
1059,2008-04-08 11:36:28,2008-04-08 11:57:38,,,
1059,,,2008-04-08 11:36:28,,
1059,,,,2008-04-08 11:57:36,2008-04-08 11:57:38
1056,2008-04-08 11:35:10,2008-04-08 12:25:38,,,
1056,,,2008-04-08 11:35:10,,
1056,,,,2008-04-08 12:02:49,2008-04-08 12:02:51
1056,,,,2008-04-08 12:25:35,2008-04-08 12:25:38
1126,2008-04-08 12:27:28,2008-04-08 14:50:41,,,
1126,,,2008-04-08 12:27:28,,
1126,,,2008-04-08 13:13:09,,
1126,,,,2008-04-08 13:32:39,2008-04-08 13:34:42
1126,,,,2008-04-08 14:21:46,2008-04-08 14:21:54
1126,,,2008-04-08 14:39:18,,
1126,,,,2008-04-08 14:50:38,2008-04-08 14:50:41
1105,2008-03-31 08:12:25,2008-03-31 10:56:38,,,
1105,,,2008-03-31 08:12:25,,
1105,,,2008-03-31 08:34:13,,
1105,,,2008-03-31 09:02:16,,
1105,,,2008-03-31 10:06:06,,
1105,,,,2008-03-31 10:54:43,2008-03-31 10:56:38
1083,2008-04-08 08:23:05,2008-04-08 11:27:41,,,
1083,,,2008-04-08 08:23:05,,
1083,,,2008-04-08 08:52:40,,
1083,,,,2008-04-08 09:35:56,2008-04-08 09:40:57
1083,,,,2008-04-08 09:55:47,2008-04-08 09:56:19
1083,,,2008-04-08 10:35:58,,
1083,,,,2008-04-08 11:26:16,2008-04-08 11:27:41
1117,2008-04-08 12:20:25,2008-04-08 13:48:38,,,
1117,,,2008-04-08 12:20:25,,
1117,,,2008-04-08 12:31:19,,
1117,,,2008-04-08 12:49:31,,
1117,,,,2008-04-08 13:04:51,2008-04-08 13:07:41
1117,,,,2008-04-08 13:45:12,2008-04-08 13:48:38
1234,2008-04-08 14:01:18,2008-04-08 14:09:42,,,
1234,,,2008-04-08 14:01:18,,
1234,,,2008-04-08 14:09:42,,
1018,2008-04-08 14:20:56,2008-04-08 15:35:51,,,
1018,,,2008-04-08 14:20:56,,
1018,,,,2008-04-08 14:51:50,2008-04-08 14:52:36
1018,,,,2008-04-08 15:34:52,2008-04-08 15:35:51
1162,2008-03-31 08:16:09,2008-03-31 10:00:19,,,
1162,,,2008-03-31 08:16:09,,
1162,,,,2008-03-31 08:49:34,2008-03-31 08:50:41
1162,,,,2008-03-31 09:59:40,2008-03-31 10:00:19
1005,2008-03-31 10:47:43,2008-03-31 11:11:23,,,
1005,,,2008-03-31 10:47:43,,
1005,,,2008-03-31 11:11:23,,
