brind,startT,endT,stayDuration,commDuration
1042,2008-04-08 16:09:41.970,2008-04-08 16:11:30.000,,00:01:48.030000
1088,2008-04-08 08:23:14.970,2008-04-08 09:04:49.440,00:41:34.470000,
1088,2008-04-08 08:38:16.980,2008-04-08 08:38:27.000,,00:00:10.020000
1088,2008-04-08 08:41:20.010,2008-04-08 08:42:45.000,,00:01:24.990000
1088,2008-04-08 08:48:50.970,2008-04-08 08:49:39.960,,00:00:48.990000
1088,2008-04-08 09:01:47.010,2008-04-08 09:01:50.970,,00:00:03.960000
1088,2008-04-08 09:03:30.990,2008-04-08 09:04:37.980,,00:01:06.990000
1223,2008-04-08 09:46:03.990,2008-04-08 12:01:19.410,02:15:15.420000,
1223,2008-04-08 09:59:36.990,2008-04-08 10:00:02.970,,00:00:25.980000
1223,2008-04-08 10:31:55.950,2008-04-08 10:32:06.960,,00:00:11.010000
1223,2008-04-08 11:12:24.990,2008-04-08 11:13:56.010,,00:01:31.020000
1223,2008-04-08 11:41:02.970,2008-04-08 11:42:12.990,,00:01:10.020000
1223,2008-04-08 11:52:57.990,2008-04-08 11:54:07.020,,00:01:09.030000
1223,2008-04-08 12:00:27.000,2008-04-08 12:00:54.000,,00:00:27
1108,2008-04-08 12:05:04.980,2008-04-08 13:36:00.000,01:30:55.020000,
1108,2008-04-08 12:21:09.990,2008-04-08 12:22:12.960,,00:01:02.970000
1108,2008-04-08 13:12:55.980,2008-04-08 13:14:59.970,,00:02:03.990000
1108,2008-04-08 13:32:42.000,2008-04-08 13:35:34.980,,00:02:52.980000
1214,2008-04-08 13:24:57.990,2008-04-08 13:31:15.900,00:06:17.910000,
